element_type,osmid,name,geometry,college,food_court,hospital,parking,restaurant,university,latitude,longitude
node,1767725683,,POINT (0.0449702 51.651727),0,0,0,1,0,0,,
node,1767725707,,POINT (0.0367782 51.6481331),0,0,0,1,0,0,,
node,1769508069,ASK Italian,POINT (-0.0247303 51.4086042),0,0,0,0,1,0,,
node,1770811008,,POINT (-0.3299466 51.6641559),0,0,0,1,0,0,,
node,1771216680,Café Rouge,POINT (0.0052581 51.5014168),0,0,0,0,1,0,,
node,1772862541,McQueen,POINT (-0.085644 51.524557),0,0,0,0,1,0,,
node,1774147225,Royal Drawing School,POINT (-0.0812967 51.5256916),1,0,0,0,0,0,,
node,1774147231,The Prince's School of Traditional Arts,POINT (-0.0813958 51.5257433),1,0,0,0,0,0,,
node,1777189058,,POINT (0.0980947 51.5949192),0,0,0,0,1,0,,
node,1779488311,Molesey Community Hospital,POINT (-0.3724508 51.3975401),0,0,1,0,0,0,,
node,1784593689,Tayyabs,POINT (-0.0634614 51.5172654),0,0,0,0,1,0,,
node,1788955594,The Avalon,POINT (-0.1480184 51.4506637),0,0,0,0,1,0,,
node,1794653622,Dacha Russian Restaurant and Deli,POINT (-0.1585562 51.5819092),0,0,0,0,1,0,,
node,1794807070,Sobranie Bar & Restaurant,POINT (-0.1467732 51.4930325),0,0,0,0,1,0,,
node,1797692539,Altamarea,POINT (-0.0899601 51.5057703),0,0,0,0,1,0,,
node,1798086326,,POINT (-0.4907876 51.3029282),0,0,0,1,0,0,,
node,1802228985,Kirthon,POINT (-0.434797 51.2771183),0,0,0,0,1,0,,
node,1802246138,Laughing Buddha,POINT (-0.4354709 51.2773762),0,0,0,0,1,0,,
node,1802246139,Merry House Takeaway,POINT (-0.4352107 51.2767823),0,0,0,0,1,0,,
node,1804468505,Nando's,POINT (-0.1004869 51.372806),0,0,0,0,1,0,,
node,1804468528,Wagamama,POINT (-0.0970894 51.3739183),0,0,0,0,1,0,,
node,1804590443,Thai Square,POINT (-0.0759696 51.5123529),0,0,0,0,1,0,,
node,1804861201,,POINT (-0.5243851 51.4415314),0,0,0,1,0,0,,
node,1815308231,,POINT (-0.1104881 51.4800914),0,0,0,1,0,0,,
node,1817680352,,POINT (-0.4897914 51.3990533),0,0,0,1,0,0,,
node,1822127901,Little Farm,POINT (-0.0825694 51.5050569),0,0,0,0,1,0,,
node,1822172747,Brigade Bar & Bistro,POINT (-0.081239 51.5039617),0,0,0,0,1,0,,
node,1828476559,PizzaExpress,POINT (-0.4554403 51.3735572),0,0,0,0,1,0,,
node,1830558949,Haz St Paul's,POINT (-0.0965337 51.5151325),0,0,0,0,1,0,,
node,1831963644,La Luna,POINT (-0.0940472 51.4846255),0,0,0,0,1,0,,
node,1832558430,Atesh Restaurant,POINT (-0.0988576 51.3688504),0,0,0,0,1,0,,
node,1832688367,Vanilla Black,POINT (-0.1111115 51.5166596),0,0,0,0,1,0,,
node,1834746835,Caribbean Cuisine,POINT (-0.1141976 51.5596148),0,0,0,0,1,0,,
