,latitude,longitude,college,food_court,hospital,parking,restaurant,university,distance,charging_station,cs_idx,amenity_idx
64,51.516658,-0.1656979999999999,0.0,0.0,0.0,0.0,1.0,0.0,50.58934369760087,1.0,22.0,685.0
65,51.516658,-0.1656979999999999,0.0,0.0,0.0,0.0,1.0,0.0,77.43138065441514,1.0,22.0,4068.0
66,51.516658,-0.1656979999999999,0.0,0.0,0.0,1.0,0.0,0.0,41.555129040925074,1.0,22.0,4386.0
67,51.516808,-0.1519849999999999,0.0,0.0,0.0,0.0,1.0,0.0,97.22601011799411,1.0,23.0,1362.0
68,51.516808,-0.1519849999999999,0.0,0.0,0.0,0.0,1.0,0.0,51.882974594673584,1.0,23.0,2581.0
69,51.516808,-0.1519849999999999,0.0,0.0,0.0,0.0,1.0,0.0,64.45685291231719,1.0,23.0,4007.0
70,51.516808,-0.1519849999999999,0.0,0.0,0.0,0.0,1.0,0.0,84.11752385319973,1.0,23.0,4011.0
71,51.516808,-0.1519849999999999,0.0,0.0,0.0,0.0,1.0,0.0,74.72161939250297,1.0,23.0,4013.0
72,51.517068,-0.1528209999999999,0.0,0.0,0.0,0.0,1.0,0.0,95.06830471510423,1.0,24.0,2581.0
73,51.517068,-0.1528209999999999,0.0,0.0,0.0,0.0,1.0,0.0,98.02157489531359,1.0,24.0,4013.0
74,51.518005,-0.103962,0.0,0.0,0.0,0.0,1.0,0.0,97.52439449213256,1.0,26.0,3092.0
75,51.5190133,-0.122246000000018,0.0,0.0,0.0,0.0,1.0,0.0,70.23535976268353,1.0,27.0,59.0
76,51.5190133,-0.122246000000018,0.0,0.0,0.0,0.0,1.0,0.0,86.19490711129069,1.0,27.0,871.0
77,51.5190133,-0.122246000000018,0.0,0.0,0.0,0.0,1.0,0.0,44.999744185146355,1.0,27.0,1807.0
78,51.5190133,-0.122246000000018,0.0,0.0,0.0,0.0,1.0,0.0,91.04737943675019,1.0,27.0,1879.0
79,51.5190133,-0.122246000000018,0.0,0.0,0.0,0.0,1.0,0.0,34.07378413506833,1.0,27.0,2889.0
80,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,62.36868986652761,1.0,28.0,403.0
81,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,37.53533298160549,1.0,28.0,742.0
82,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,61.702388852346296,1.0,28.0,951.0
83,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,45.27311849931169,1.0,28.0,1329.0
84,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,98.22402265627505,1.0,28.0,1601.0
85,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,40.564355337849115,1.0,28.0,2337.0
86,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,31.580084974047175,1.0,28.0,2338.0
87,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,39.712077612371544,1.0,28.0,2339.0
88,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,57.36498647881125,1.0,28.0,2481.0
89,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,39.12234897749708,1.0,28.0,4077.0
90,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,41.60433570826683,1.0,28.0,4594.0
91,51.519293,-0.1354459999999999,0.0,0.0,0.0,0.0,1.0,0.0,78.44873945643005,1.0,28.0,5543.0
92,51.519725,-0.152477,0.0,0.0,0.0,0.0,1.0,0.0,60.14132480608611,1.0,29.0,1934.0
93,51.519725,-0.152477,0.0,0.0,0.0,0.0,1.0,0.0,75.14488522126574,1.0,29.0,2479.0
94,51.519725,-0.152477,0.0,0.0,0.0,0.0,1.0,0.0,56.99243997361702,1.0,29.0,4023.0
95,51.520279,-0.155659,0.0,0.0,0.0,1.0,0.0,0.0,79.93443901360014,1.0,30.0,385.0
96,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,1.8743870582572195,1.0,30.0,1086.0
97,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,84.32757895159997,1.0,30.0,2257.0
98,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,35.11600206731988,1.0,30.0,3242.0
99,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,99.95963472024896,1.0,30.0,4026.0
100,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,84.63857033489907,1.0,30.0,4031.0
101,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,77.57018715687026,1.0,30.0,4032.0
102,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,37.53402008888597,1.0,30.0,4033.0
103,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,39.59340996245874,1.0,30.0,4036.0
104,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,48.97588794246466,1.0,30.0,4211.0
105,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,18.862000245359976,1.0,30.0,4421.0
106,51.520279,-0.155659,0.0,0.0,0.0,1.0,0.0,0.0,35.52867463368637,1.0,30.0,5813.0
107,51.520279,-0.155659,0.0,0.0,0.0,0.0,1.0,0.0,96.40836908889776,1.0,30.0,5858.0
108,51.521129,-0.159386,0.0,0.0,0.0,0.0,1.0,0.0,99.3627799381089,1.0,31.0,4111.0
109,51.521616,-0.1408269999999999,0.0,0.0,0.0,1.0,0.0,0.0,12.70796696487288,1.0,32.0,54.0
110,51.521616,-0.1408269999999999,0.0,0.0,0.0,0.0,1.0,0.0,86.35602391525337,1.0,32.0,739.0
111,51.522106,-0.13146,0.0,0.0,0.0,0.0,0.0,1.0,88.08485047254291,1.0,33.0,2095.0
112,51.522106,-0.13146,0.0,0.0,0.0,0.0,0.0,1.0,76.4537556086334,1.0,33.0,4954.0
113,51.522106,-0.13146,0.0,0.0,0.0,0.0,0.0,1.0,81.04239096614998,1.0,33.0,4955.0
114,51.651838,-0.085756,0.0,0.0,0.0,0.0,1.0,0.0,62.92226986938805,1.0,36.0,1113.0
115,51.651838,-0.085756,0.0,0.0,0.0,0.0,1.0,0.0,17.336348384244676,1.0,36.0,1114.0
116,51.65412,-0.39285,0.0,0.0,0.0,0.0,1.0,0.0,63.39779624730692,1.0,38.0,5729.0
117,51.65412,-0.39285,0.0,0.0,0.0,0.0,1.0,0.0,91.77347576966508,1.0,38.0,5730.0
118,51.65412,-0.39285,0.0,0.0,0.0,0.0,1.0,0.0,33.22390531877049,1.0,38.0,5731.0
119,51.40389,0.01656,0.0,0.0,0.0,0.0,1.0,0.0,84.56248160575596,1.0,39.0,3557.0
120,51.515846,-0.0784893,0.0,0.0,0.0,0.0,1.0,0.0,78.51528776813429,1.0,43.0,2185.0
121,51.515846,-0.0784893,0.0,0.0,0.0,0.0,1.0,0.0,69.5345338237473,1.0,43.0,2186.0
122,51.515846,-0.0784893,0.0,0.0,0.0,0.0,1.0,0.0,39.890813296401994,1.0,43.0,2209.0
123,51.515846,-0.0784893,0.0,0.0,0.0,0.0,1.0,0.0,57.973420463708855,1.0,43.0,2728.0
124,51.515846,-0.0784893,0.0,0.0,0.0,1.0,0.0,0.0,89.738262989378,1.0,43.0,3678.0
