,latitude,longitude,college,food_court,hospital,parking,restaurant,university,charging_station
7771,51.3296279,-0.4107029,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2600,51.487263,-0.160484,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5583,51.5963147,-0.121197,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2945,51.57523,-0.373643,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4500,51.5413576,-0.1569701,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6644,51.6220832,-0.1051211,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6037,51.4598444,-0.1346648,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5265,51.5302143,-0.1251504,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3489,51.55594286784466,-0.116496046901033,0.0,0.0,0.0,0.0,0.0,0.0,1.0
695,51.549123,-0.0870249999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5053,51.5422374,-0.4024567,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2031,51.507499,0.038851,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1882,51.56946,-0.0820439999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5774,51.476397,-0.1486095,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1692,51.567247,-0.0728979999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1156,51.4047059,-0.178538,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3761,51.4955582,-0.0068108,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3134,51.398074,-0.116437,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5834,51.4835001,-0.1705399,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5604,51.483648,-0.3286933,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6083,51.5100094,-0.1288445,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2491,51.469278,-0.2467369999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6455,51.5534703,0.0053604,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4649,51.5009081,-0.183554,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3708,51.5778433,-0.3359559,1.0,0.0,0.0,0.0,0.0,0.0,0.0
